iter	Passed	Remaining
0	52	10393
1	55	5513
2	59	3890
3	62	3070
4	66	2595
5	70	2270
6	73	2032
7	77	1848
8	80	1706
9	84	1597
10	87	1502
11	91	1427
12	94	1360
13	98	1312
14	102	1262
15	105	1217
16	109	1180
17	113	1147
18	117	1117
19	121	1089
20	124	1061
21	128	1041
22	132	1018
23	135	996
24	139	976
25	143	962
26	147	945
27	151	928
28	154	912
29	158	897
30	162	885
31	166	872
32	169	858
33	173	844
34	176	832
35	180	821
36	183	810
37	187	800
38	191	789
39	196	784
40	200	776
41	201	758
42	205	748
43	208	739
44	212	730
45	215	722
46	219	714
47	222	705
48	226	699
49	230	690
50	233	682
51	236	674
52	240	666
53	243	659
54	247	653
55	252	648
56	255	641
57	260	636
58	264	631
59	267	624
60	271	617
61	274	611
62	278	605
63	282	599
64	285	593
65	288	586
66	292	580
67	295	574
68	299	568
69	303	562
70	306	556
71	310	551
72	313	545
73	317	539
74	320	534
75	323	528
76	327	523
77	331	518
78	335	513
79	339	508
80	342	503
81	346	498
82	349	493
83	353	488
84	357	483
85	361	478
86	364	473
87	368	468
88	371	463
89	375	458
90	378	453
91	382	449
92	386	444
93	389	439
94	392	434
95	396	429
96	399	424
97	403	419
98	407	415
99	410	410
100	414	406
101	417	401
102	421	396
103	424	391
104	428	387
105	431	383
106	435	378
107	438	373
108	442	369
109	446	364
110	449	360
111	453	356
112	456	351
113	460	347
114	464	343
115	468	339
116	472	334
117	476	330
118	479	326
119	483	322
120	487	318
121	490	313
122	494	309
123	498	305
124	501	301
125	505	296
126	508	292
127	512	288
128	515	283
129	519	279
130	522	275
131	526	271
132	530	267
133	533	262
134	536	258
135	540	254
136	544	250
137	548	246
138	551	242
139	555	237
140	558	233
141	562	229
142	566	225
143	570	221
144	574	217
145	577	213
146	581	209
147	585	205
148	589	201
149	593	197
150	597	193
151	601	189
152	604	185
153	609	182
154	613	178
155	616	173
156	620	170
157	624	166
158	628	162
159	632	158
160	635	154
161	639	150
162	644	146
163	648	142
164	653	138
165	656	134
166	660	130
167	665	126
168	670	123
169	675	119
170	680	115
171	685	111
172	689	107
173	693	103
174	696	99
175	700	95
176	704	91
177	708	87
178	712	83
179	716	79
180	719	75
181	723	71
182	727	67
183	731	63
184	734	59
185	738	55
186	742	51
187	746	47
188	750	43
189	754	39
190	758	35
191	761	31
192	765	27
193	768	23
194	772	19
195	776	15
196	780	11
197	784	7
198	787	3
199	791	0
